target,text
4,http://twitpic.com/6pkz5 - Planting  Today's environmental's day!
4,"@DefectedRecords -Ahhh, i wanna be there! "
4,@groundworkLA haha i was aware but http://tinyurl.com/azvajq was outdated &amp; i didn't have the option to update the info 
4,http://twitpic.com/3n82p - I am giving mommy a hug 
0,@ninjadza I was only updating a petting list to a group i belong to.... 
4,"not watching race anymore, my driver not doing good, i'm probably the only jeff gordon fan in the world, whose your driver? "
4,off to the library after a pit stop @ home for shower and left over lo mien 
0,@Rmediavilla I want to listen to the show but can't in my area 
4,@tommcfly haha have you seen the jonas brother southpark episode! pretty funny! keep up awesome work  xxxxx
4,"Whoho, Happy friday everyone. I just finished munching turkish sweets now im relaxing and drinking my cup of tea YUMM! "
4,@shanedawson just wanted to say your fun as hell 
0,Ahhh.. one more wicket down...  #ipl09 #ipl
0,"Oh noes! After almost 2 weeks of trending, Star Trek is gone. "
0,i am so sad that the 8th graders are graduating 
0,Ready for Eastenders - going to be a good one!! .. Then the last BGT Semi Final  .. FINAL tomorrow night though  Exciting stuff...
0,"after enduring the most awkward lunch possible, the Malaysian rain would seem inviting but even the rain feels different in Malasyia "
0,i hate tonight with everything i have in me. 
0,"@Kate_N_Allen Wish that I could help you Kate (as I helped a former friend move 3 times), but you know geographics... "
4,@ritchiee Thank you very much! 
0,Wish I was at Glasto with a smoothie and a frozen yoghurt  Blur were absolutely incredible last night!
4,Any other guesses on how many little Pudges &amp; Pudgettes I'd love to have (even though it's really up to my wife)? 
4,@mom_07 I can see you 
0,@jesssrocks o yea smh  lol kinda bitter sweet man!!! lol so r u goin to lauren party 2 day?
4,"@Lilbets Thanks, Betty.  I'm a brat, though... I should be happier about it. First time playing division 1 coming in 2nd - not too shabby."
0,fuck i think i'm lactose intolerant.  this is baaad news. my mum bought me this lactose free milk and it tastes like sweet cardboard.
0,"ah mr markhams leaving  listening to the cribs on steve lamacq, woooo"
0,My best wishes to all of those in the metro crash today  --i am hoping evryones is doing well
4,@do0dlebugdebz Pixar does really good animated movies...they bring out the &quot;child at heart&quot; in me...  do u love drawing or cartoons?
0,@morrissey0022 yeah I would normally but my parents don't let me when we are spending time  but I can always look back on highlights.
4,"@IntheOffing Stephani is perfectly fine, dressage test today! doing prelim 14 and novice 20, photos to follow  (school horses are boring)"
4,watching @shanedawson with Linz 
4,about to continue watching sweet november 
0,@danamlewis check to see who you sent it to - not seeing an email from you 
4,Yeahhhhhh Tigers. Knew I could count on y'all. 
0,@XCrazyChic  heyyy wuu2 l8ly got 2 go football 2 moz  but oh well see u mondayxxx babe  byeeee
0,"One of my babies (Turin Cat), is sick. Need to take him to the vet first thing in the morning. Poor little sweetie pie. "
0,Jake and i wish meg ross was here 
0,no1 is tweetering 
4,"@stevesundberg Don't forget about Hitler, Carmen Electra, George Takei and Andy Serkis!!! "
0,Yay broken down on my bike. Anyone know how to fix the ignition circuits of a 99 suzuki sv650 
0,@Cboardkid That's happening to me as well! 
0,"@DanielleTwirls OMG! dont make it worse! R u kiddin me! I cant say how hot guys are  She's like i'll join twitter, bebo. but she's kiddin"
0,@unitechy @ocriket page doesnt exist 
0,just got back from work . I know i miss alot  so tired.
0,I wish I was in LA 
4,"@bristraffic no worries  - worth broadcasting on the radio, or it's clear??"
4,Dinner sounds good though! Char grilled chicken with herb butter and broccoli.  
0,"@javashri: It's all in the game. 2009 has totally filled me with losses. CSK, ChelseaFC &amp; now Spain. "
0,not feeling well  staying home so i dont infect anyone if i have a bug or something
0,@JOJOSWRLD89 well sadly our generation is full of gorgeous women who don't love themselves on the inside so the outside don't even matter 
0,I am trying to edit a story but I keep taking Facebook quizzes that my friends are doing 
4,i figured it out ashley 
4,@GGEastLDN btw playin with fire is a better tune..there album was uber back in da day 
0,@MaryBologna keep me updated.  I'm working 
4,So my twitter game is terrible... Still learning. Pray for me 
4,is once again inspired 
0,Scratch that. It was an accident. 1 hour delay 
0,I might not b going to grad nite. 
0,its soooo hot and lovely outside but I can't go out stupid work 
4,@Cortnee4Christ I have my pen ready to write them down! 
4,Go to www.myspace.com/tokyotowerfm if you want to find out how to subscribe to our show 
0,@aion_ayase Can you help me? I can't register in the Betaforum. It always tell me invalid game account login. 
0,@YallcancallmeK awww man K u didn't let me know that she was back! ..... I'm so mad @ u... 
4,@pamelaweir You´re welcome  Oops u´re talking with a computer´s enemy hahaha. Hope everything will be ok. Tell &quot;Toronno&quot; I miss her/him 
0,On my way to the dentists ugh and i dont have aaliyah.... aww i miss my baby 
4,@souljaboytellem I Like that . . .i Like that Alot 
0,@treelim yea.  Idk 
4,had a kickboxing lesson today. i'll say it once. don't piss me off. you've been warned 
4,@idangazit I don't find this stuff amusing any more 
4,@2Serenity Thanks! Me too! 
4,@TeresaKopec Your son's friends' coming over is a testimonial to your graciousness. 
0,Poor jcm how could someone so amazing be so lonely... 
0,@elligraz I'm not going    fucking gutted out in the english country side at a wedding but thanks x
4,I have become addicted to the hills now 
4,"Ready for this cheer boot camp to start up, hopefully it won't kick my ass too bad. haha "
4,@jakewebber You are a horny little pervert.  I approve.
4,@SuperCori We Are The Ocean 
0,@samjmoody They go to the Planet Sock!!   I swear I never get the same socks back that I put in the wash  
4,@becomingrachel yepooo 
4,@lifecruiser Yes but indeed the Nordics are typically in the top 
0,@larissaland Rob Pattidon was hit by a taxi in NYC trying to get away from crazy stalkers!!  he's not seriously injured though
4,"bring on winter, sleet and snow, and feelings that lie deep below... "
4,@WannaBeSkinny  Not loving the 5K but trying to stick with it. 
4,yummm.. Lucky Charms 
0,"@alexa_chung wanted 2 wish u good luck, but didn't make it on time   Question! On mtv.com they said something about full episodes, but..."
4,@Subeena whats making you move it? 
0,Wondering if my Chanel sunglasses ever washed up onto the beach or if they are still lost at sea. 
4,@jimmymarsh617 that is one of those sweet baby moments that r precious 
4,"mum's getting me an slr by end of this year, me hopes  *crosses fingers."
4,is so incredibly happy....and freezing....all at the same time! it's a miracle 
4,I'm actually leaving my house early enough that the Limited buses still run. über proud of myself 
0,@bumblepie I think by the time I got there you would be sober 
4,@ronaldwidha you can use the same one from the Firefox site for IE8 
4,At Wembley with @hally24 having a few beers before the game  http://twitpic.com/3is1j
0,@MaeJo loser you didn't call me at all 
4,"@sweynh LMFAO, mate!! Got it totally, and it was awesome... "
0,"Going to help my brother with his move today so far, I'm late "
0,got her first scratch on her new bike  stupid huge metal poles
0,i need to pee. i have to do geography but i have no idea what issue to do 
0,nobody is talking now 
0,saw pandas at the zoo today!  i tried to smuggle one in my bag by tempting it with bamboo but it was too big 
0,PT school sucks.  
4,"@tommcfly @dannymcfly THANKS TO YOU YESTERDAY WENT THE BEST NIGHT OF MY LIFE, THANKS YOU "
0,@mikeeeeymike did you see who did it? Damn man  even the case?
0,@heatherezell Are you freaking SERIOUS?! UGH! That's so irritating. 
4,Any videographers in Columbus or Cleveland want to do a 2 hour paid shoot of a workshop?  @ reply me 
0,"the last 2 hrs I've been rebuilding my itunes library just so i can get my #'s in my phone, 3 x's now and it still wont work. shoot me "
0,Gawd. I hate my Dad! What father doesn't allow their children to hang with their own cousin 
4,http://twitpic.com/6thoo - my smile technique  so you wont see my pimple. hahaa
0,@bartbmore Why arent you following me 
4,@lamourlamorgue not unless theres a drought in England and the have the hose pipe ban again 
4,"Goodafternoon all.  Time for week reflection now, meaning I have to iron. Happily not  the whole summer collection like  last week "
4,http://twitpic.com/6vua2 - Out by the pool 
0,@iamjonathancook ps--my friend @johana95 ARE DEFINATELY PLANNING to see you guys live..again. last time for me was prbly bamboozle left? 
0,Ok so I'm buzzed been looking for @robromoni And @wolfhudson. No where to be found !!! 
4,"royal park cellars 3 pound on the door tonight, come see us! "
4,Eating the yummy cake my girlfriend made me for my birthday! 
0," last day of volleyball miss everyone already. Oh well, banquet on 10th hopefully everyones gonna be there"
4,@recr great! I am working an offer this am after sls mtg &amp; writing an offer at 3. I will definitely be ready to relax 
4,@loopy_lala - sending some virtual honey tea and Ricola for your cough 
4,OMRP!!! SO F-IN READY FOR THE MTV MOVIE AWARDS!!! HERE WE C IF OR VOTES FOR ROB WORKED! NEW MOON TRAILER ALSO !!! 
0,Just got bad news! My neighbors are puttin their dog 2sleep! He wont be in pain anymore but soooo sad!!   R.I.P. Kasier!! 
4,@JoeThomasSays shocked really? But thank you 
4,@DavidArchie please come back here in Philippines! You're so awesome! 
0,I had a blast drinking it up for the LSU national Championship!!!!!!!! Now it it time to go to bed since I have to be a WEIU at 9:30 
4,@katthirteen   hi..maybe you might want to try this one http://tinyurl.com/c6czen i'm sure you'll like it 
4,@vampiravalo for my birthday which is in June...Either Razorblade Romance or Deep Shadows and Brilliant Highlights would be cool. 
4,"got like 7 hours of sleep biiiitchh! goinnnng to get my haircut, then the mall and tagaaaay "
4,@mileycyrus: oh...my gosh I can't stop singing &quot;The Climb &quot; it's  such a lovely songxx   from laus in england.
0,so im a bit broken hearted right now also. 
4,@itsonalexa love your show..! 
4,Hehe you are so welcome! 
0,I have too coldly 
4,"@juicylemonapple ooh, that's cool...and i'm at the head office at london drugs "
4,@Kekic Lmao i know !! pleaseeee reply  You got any replies yet? :L x
4,@awpoordidi hahahahah well I appreciate the effort 
4,Talking On The Phone  Branden Is Making Me Yawn; But That's A Good Thing 
0,Gross cat noises outside my window go away!!!! Ugh not a cat fan in the least! Enter the earplugs to the ipod now... 
0,@devilwoman007 I don't need to even ask how yours has been-I feel bad that you're  sick 
4,@patriciacortezz Oy! I`m going to Jacky`s in 30 mins. na. 
0,"I was good the whole dinner. Then when I came home, the teriyaki sauce in the box spilled ALL over me!  Ef em el"
0,"God,please .. be with Tiffaney .. "
0,@DonnieWahlberg The Bean is a dark depressing place today. I think it's because you are not here. Miss you! 
4,@chrispoteet Nice lock screen 
4,@PaulaAbdul dont take anything less than u deserve from fox. we will deal w/ it if you leave. im sure we'll see you around.  i love you.
0,@StephJM I Know Eh! I Wish I Was Certificate Not Diploma  http://tinyurl.com/d4rv75
4,"Reading through their playlist for yesterday, i have a feeling i'll be listening to this for quite some time "
0,"@Scandalous an iphone app came out a few months back called zemote, bumped my domain zemote.com out of the #1 spot "
4,Hello my lovelies  whats everyone doin 2nite!? I want 2 party w yall 
0,@sammycocochanel noo not yet  i've been writing notes all day!
4,I have the most boring tweets ever lol yet still have followers  haah awesomeee. sleep in tomorrow! thank you long weekend!
4,@TomFellowes I'm sure it'll be fiiiiiiine  u not in UUni today?
4,"@gamwyn yes!  and no Jonas Bros vids, whew!"
0,I wish I was at wango tango 
4,"jst got one of those shopping site spams that usually come from china, chk the url  &quot;i suggest you a very good shopping site&quot; shiprice.com"
4,I'm in need of some new tees these that I got are to big and dumb lookin...I'm hype that I lost that weight 
4,TRYING TO FIND MELLISA 
4,@mikeredding Mike will you tune in for a mo please? 
4,wishing i was in San Sebastian! Good luck friends! you'll get the gold 
4,"There are a lot of new ideas I want to write down, now.  *excited."
4,@taj456 Download link for: http://tinyurl.com/bkygvt is http://tinyurl.com/pz7os6  #fetchmp3 #music #mp3
0,@brwneyedbabe83  We got a last minute invite........alas not kid sitters 
4,Ah! T'was not meant to be! Back to the drawing board I guess. 
0,@beauty411 oh boo! I'm sorry. I shoulda said something earlier.  
4,@joe_boy82 they are covering my glasses. you can just see them 
4,@ANTIMILEY http://twitpic.com/37mp9 - shes amazing 
0,chris wont feed me ice cream 
0,@Lea_Ellen @acrichards  im old..  Im almost 30 =*(
4,"@Bethgitchel Nope, lol. I was looking through my ex's tattoo magazine and saw a lobster, and I was like &quot;I NEED one on me!&quot; "
4,"@dreamtubes LOL awww but surely you're allowed one? IE: me, I'm the non fattening version! "
0,My car says it is 101 outside. 
4,@vidrioman isn't he that cute mayor. 
4,@AprilAMiller Xmas tree a good analogy 
4,@iCork Sunny up here 
4,"@blipfish Re: SW Eggs. Ever had eggs on rice or huevos montados? I like eggs on rice, &amp; sub red sauce w/ mole sauce &amp; sprinkle w/ cotija "
0,@rosskie I agree! Though her chocs were too pricey 
0,@plasmaegg its not starting...  not sure what to do now.... think I'll just forget all about it! (@jodiem - I did try!)
4,Just registered 2 domains names http://geekified.tk and http://codewolf.tk They make it easier to find and contact me 
0,@HardeepG Summerlicious sound delicious. Sadly I don't think I will be in Toronto this summer. Heard great things about it. 
4,"30 minute power nap - good to go. Jacksonville, baby. "
0,Didn't finish.  Cleared my history. Time for D.E. The Used on the radio. I love today.
0,Isn't there anyone out there who can fill up my love tank 
0,Yea Tony hawk! Boo my camera hating bright red light. 
0,recital #1 tonight. not looking forward to tomorrows recital 
0,Ahh SATs make me sick  Grad party time...
0,@mameekins yes  can't have the day off as there is no1 else to do my job! Gotta get up at 6am!We have s3 of supernatural to watch now woo!
4,@Nataloran i like cooking too  always watch Martha ..lol
4,On a photo shoot should be able to get some great shots  we')l see
4,Really love my new office location.  Had Lunch(took pictures) up big cottonwood Canyon again.  I'm going to make a habit of this.    #slc
0,~erasing my previous comment because it wasn't nice.~ 
0,@ktlovesjonas18 hahaha I don't know how. sadpanda. 
0,"took 4 hours from Rangsit to Pinklao this evening, so tired. "
0,trying to finish moving stuff for tonight don't feel good!!!!! 
0,evanescence are really gonna suck now without amy-lee 
0,@urban_empress sorry  I didn't notice!
0,@gloomybb doh! it got removed! 
0,@InTheLittleWood yes 
4,@KeenoChan follow marielle on twitter i made her one..  her name is super cute..
4,"@RebeccaLange Just writing a post for my blog, nothing exciting "
4,i should go on a tour of America in 2011 with my mummmyyyy 
0,Off to Iowa with @benjaminlindner @kansasjackass @tjwills00 @moreauphone @ColinCurtisKS and @ksuchoice for #MWYDA - Sadly not @kellyjay7 
4,"@maheshmurthy wen i said submitted b-plan 'for' seedfund, people mistook as submitting to ur firm.... definitely the name sticks  grt"
4,"wirting my report, humming &quot;Everytime&quot;by Simple Plan.  Looking forward to go hiking next weekend "
0,@GlamourFrog Ya I guess so. You try to share your snacks Cat just eats his not even telling or offering.  *Huggels*
0,"Oh my gosh, most horrible freaking nightmare ever.  Dunno if I can go back to sleep after that one."
0,@cassferatu Aww sounds like a sad story.  I would have sixth-wheeled it up with you. 
4,wow...love u-you're awesome! 
0,@MicheleSmith32 Mizzou should've started Delaney...now the game's all but over with the Geo HR.  
0,@fatka3 I'm pretty sure it's been well established I ain't a man 
4,Hello... im feeling good todai  &lt;3
4,Watching The Green Mile on the world's biggest flat-screen with my puppy dog snoozing on my lap. Its a lovely Lum-free evening  #Luminous
0,"love him to death for real i'd do anything for the man, thought i was over those kinda of feelings but i guess not..  and it sux"
4,85 Comedians to follow on Twitter http://tr.im/TwitterComedians  (Not including  @LeoLaporte 
4,@Deanna64 ya ! LOL hopefully of pays off 
0,says hoping for it !!  http://plurk.com/p/y4ues
4,Wisconsin dells with anna and edwarda 
4,@jimbourassa  thanks. it'll do....
4,can't wait to see steph. 
0,wondering if he likes me too... could it be? listening to simple plan and JB waiting for his call but i know it'll never ring 
4,[?] Sun Shiny Day  [?]
0,"just installed tweetdeck, now off to go sailing in the rain by herself "
0,tanning all day today; going away party for my brother and cousin today too 
0,@himynameisjaz we should have followed them to macdonalds  are we going to the airport when they leave?
4,@iamdiddy I would definitely dance wit ya!  Diddy live &gt; http://bit.ly/BeN2t
0,"Embarrassed to say 24hrs before 4 blisters, 2 on each foot got better of me. Had 2be collected this morning. Now a week or more to heal "
4,"@iamvlady Um, that's probably your body telling you to take a rest from partying. Either that, or it's an allergic reaction to Sharpies. "
4,last.fm My Library comes in handy if your music is on a drive not connected to the computer 
0,Good morning twitter world it's my 13hr day today   Keep laughing so I can get through it!!!
0,#CSI just isn't the same without William Petersen 
4,@jeremyteocx Yes. They will beat the team of whiners 
0,@desi0203 Yeahh but me eye is all different colors lol I tried that already lol 
0,sittin in the apt...i'm hungry 
0,"First, I broke my brand new eye shadow... Freaken crap!!! And now, I just broke my good brush... Seriously wtf?!? Ugh!!!!!! "
0,SO upset!     
4,Going to the zoo today with a bunch of people and a baby who is too young to really care 
0,Yes i know its really early to be twittering but i have to wake up at this time so i can get home in time for practice. 
4,We'll never know what sort of shenanigans I'll get myself into next.  Really? Do I think? Ever? Oh well... 
4,"Laughter is the food of the soul, when i am with stellan i am never hungry...that is the best gift one person can give another, Laughter "
0,Has a ginormous headache 
4,@andjusticefor Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
0,"Just listening to my guy Otis Redding. Love his music!!! I have writer's block today   x 1,000,000"
0,the bottom just fell out the sky and I wanted to go to Target this morning 
4,Reverse Bungee on Sunday Can't Wait 
0,I need my new phone! Grrrrr... I hate the razor... 
4,Paintball today 
4,@iCab awww... U are sweet. Thanks for that. 
4,going to get a blizard! yummy! 
4,thinks a blueberry bagel would be good now 
0,I should have told Jordan to tweet his way onto the plane 
4,"@KulpreetSingh damn, it is NICE outside!!! "
4,i feel so....free 
4,"Going through my followees, removing those who don't Tweet   Spring cleaning in Summer! ...is it actually Summer now?"
0,@ladygooman_x also; bandito garage sale !??! too amazing. how did i miss that ???? 
0,watching BGT for the last time  and having wine and a bbq!! lovely!
4,"House to myself, and a couple drinks to a broken heart.  Party party."
0,is kinda disgusted with the amount of asians here. Save me. 
4,had a great day 2day. lost 2.8 pounds on weight watchers lol not much but it's a start!   watching tv w/ mom and midnite...textt! &lt;3
0,My bimmer was violated... 
0,@Cupcake1012 @DannyDazed Night to u guys and to all fellow Gokey lovers!! It's midnight and I have to go work in the morning  Love ya!!
0,"@NerdGenius Nevermind, it's only for the ragedy Storm  Mad they sent me that and I can't use it!"
4,Another great offer to update you with while it's still hot. Save up to 38% on Xmas and NY Med cruises from only $1590pp if you book now 
4,"I feel like I really need to ride my bike in a fabulous dress and heels, very vintage "
0,"@demetria23 Wow, yeah, that's scary. "
0,Feel yucky sick this morning 
4,"@eskimoblueboy looks awesome, i'll sign up tonight! "
4,@Franklero Oh Frank!*sigh* You've given entire nations hope with your cookie count-calorie theory 
0,just woke up. don't feel 100%. won't be able to sleep tonight now. 
4,"@ShellyKramer Cadillac Chris is a true GRILL MASTER, isn't he? @breakzqueen @xmasons @taramonster "
4,"@akirazenx well, I'm not really a gamer...more of an observer. "
4,i have to work an 8 hour shift today at a new store and im hoping there a checker job in the mix of it wish me luck 
0,O2 just called to give me a better deal with my phone package hopefully. System crash tho  come on o2
4,I've decided to buy some nice wigs coz I'll be bald after the next bleaching 
4,@8bitBass man if you gotta whip it you gotta whip it. 
0,trying to add a picture but they are all to big 
0,Ahh just had a glorious drive through the surrey hills (how pretentious does that sound) with the windows wound down. Back to Leeds later 
4,"@MsV1959  my b-day is actually July 26th, so I will keep it the same "
4, just got done crying my eyes out to Armageddon....LOL
0,And they go on to talk about how some girl is much better than her... I wonder how she feels? 
0,Climbing filming sadly cancelled so inside doing paperwork. It seems so wrong on a sunny day 
4,Time for another wonderful day. I'm so happy to be here. 
4,@Recruitweet Congrats on a very unique win for PwC! 
4,"Buon Giorno, #Twitterverse! That's #&quot;good morning&quot; in Italian, of course. My boss is wearing a wig today, she looks like Mary J. Blige "
4,"i feel jet lagged.. and i haven't been to another time zone..headache, and just totally weird. that 16 hour music video messed my head up "
4,Damn these time differences! I really want @ddlovato &amp; @selenagomez to see this  http://bit.ly/z8VXM
4,@MissFarrah Pretty good. Getting some work done eventhough I'm rather tempted to go jump in the pool real quick  How about you?
0,"I feel lame-o, a total twissappointment of late. Now anuthr Biz Trip to interfere with tweetlife. "
0,Of course everyone knows tomorrow is Father's Day! And I don't have a father to spend it with only my mom's boyfriend 
0,"Ugh, even my blogroll is empty. First whisky and then the internet "
0,@xELLENxMAYx I will be back on the 1st. Your mom left you can come here. But okayyyy 
4,"OH, and a teeny peek into behind the scenes. "
4,My did I just start my tweet off like @twitter....LOL. I'm sleepy. On to my Anita Baker Pandora Station. Gotta work in the am! TTYL 
4,flying through the IE6 CSS bugs this morning at work. I'm on a good roll 
0,nd the worst..no net..no tube light wrkng in the low voltage phase..nd sleep deprived eyes...nd a cell switched off due to no battery  x(
4,"@bibblybobs nooes  well, maybe. we can have a barbeque in my back garden "
0,I tried setting up twitter on my phone but failed 
4,@ROCKGUITARZ my cats use me as a bed 
4,going out to tan 
4,"http://twitpic.com/6b0bu - if you wondered, I moved. Here's my castle "
0,Thnxs mi future nurses helpin me pk ish n diggin in my closet tryna steal some clothes....lol...thanks ya!!! Dont wanna leave Monday 
0,@hah247 countdown to CJF that will miss yet again 
0,Today started off crazy enough and just got a little crazier.  Need to fit in an emergency dental appointment for the little man 
0,@myria101 Yeah i am beat! totes sat 2 hrs on side of road waiting for car to be fixed. 
4,"@dannygokey Hey Dad! You're having a good time I see..  Well, have a good time, perhaps? hahaha."
4,"@TheTZA I also have An Evening With Kevin Smith, on DVD! It's one of my favorites.  Especially, when he talks abotu Prince. hahaha"
4,BGT follow me and i will follow you 
0,"it's bed time, the hardest part of the day  can't sleep as usual"
4,@fataltoaster haha now thats is hardcore 
4,I got new ray bans today  just like joe
0,Don't ever try to call BT and expect them to actually talk to you 
4,@Whipoorwill ty gf I love smileys 
4,Today I went to vote for the European Parliament (yes in Sofia)... and ofcourse I voted for Nadeshda 
0,"@stuti_ I used to watch cartoon network, when things were in english , .. then it went to hindi , ... and now cartoons in telugu , .. sad "
0,Smfh. Did anyone other than me hear about the lady who did some crazy voodoo shyt to her daughter in Queens Village? 
4,@GauravSaha Yup. I plan to fuel it further by getting the DVD as soon as it hits the shelf. 
4,"@AnoopDoggDesai The Clefhangers were featured on World News with Charles Gibson tonight, singing Carolina for the UNC-CH 2009 class! "
4,@shaunmichaelb hey! sorry Im trying to lyk say thanks 2 every1 who is following me so...ah thanks! hahaha &lt;3 x   !!
4,@bloodstock ....gift cards always go over big... this year I asked my husb. for elmo live and his bone marrow! 
4,preparing for soccer match against Fc Massenheim wish us good luck 
4,"@tommcfly im sure your voice will be okay  hopefully, good luck have a good night!  xxxxx"
0,@TangyFruits @wendywings &amp; the EFFING sharks!!! not 'jaws' or 'shark tale'. and the cars aren't 'cars'  LOL
4,"@eddieizzard Morning Mr Izzard, yes but why 'pants' ? why not hat ? we rely on you to find these things out  *ribbet*"
0,@lisisilveira I still don't see your tweets in the thread 
4,@pneumatik. Hold on while I turn this crank. (we're thinking of you!). 
4,very happy household: finally got the wifi working=duvet relaxation+manga on laptop+kal playing resident evil online all at same time 
0,I feel old for some reason 
0,@falselove THEY'RE SO GOOD! I just wish I remembered my fourth favorite..  .. MAYBE WHEN THEY MAKE THE STAR? IONO!
4,"&quot;wining&quot; all day today. Not the irritating kind, the kind that makes me giggle "
0,@McSkins - I haven't slept properly in like a week  Insomnia isn't fun :'(
0,i miss working at custo barcelona....the free clothes the great people and the xtra money.....  
0,soooo wish i lived closer to london so i could go to kerrang awards! 
4,@hurricane5150 Your very welcome!!!  Thanks for the reply boo
0,im siiiiiiiiiiccckkk!! and all from swimming in Lake Michigan 
0,http://twitpic.com/4w8yk - @annie_mclean You want me to get shanked?  *cries*
4,@MATTHARDYBRAND Ha ha!! Very Drunk Jeff!! 
4,@nancii_fancii girl its a must stop everytime I'm out here 
0,Shopping online when I should b working out-- I'm tired 
4,@dekkuran An overly-happy yeti is still better than a pissed yeti. Just enjoy this side of me before it wears off 
4,@ninaborba beem.. to entrando 
0,"Got my Moo MiniCards (no holder) the image is not how I set it on the website no tel number on website, contact form 404's  #moo #mincards"
4,haha i had the muzic on nd i wz wearing my headphones nd i noticed they wernt pluged in right!!  hahaha
4,@chef_duffy Happy Birthday  Hope its a good one!!
0,"Awe shoot, Maniers get a doulble steal and leave the runners stranded "
4,ahhhhh august rush is on! 
0,What happened to summer? 
4,@getunstuck I should have known you'd be here. 
0,"I really want that oxford shoes in nine west, too bad I they don't have my size.....  I blame my feet......."
